ratio,lambda1,lambda2,lambda3,svm_acc_te,dr_acc_vtr,dr_acc_te,acc_trtr,acc_vtr,acc_te
0.8,0.1,0.1,0.1,84.707,83.327,82.404,1,0.80269,0.79292
0.8,0.1,0.1,1,84.707,83.327,82.404,1,0.81536,0.80264
0.8,0.1,0.1,10,84.707,83.327,82.404,1,0.83417,0.82076
0.8,0.1,0.1,100,84.707,83.327,82.404,1,0.76839,0.75934
0.8,0.1,0.1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,0.1,1,0.1,84.707,83.327,82.404,1,0.79539,0.77572
0.8,0.1,1,1,84.707,83.327,82.404,1,0.79463,0.78503
0.8,0.1,1,10,84.707,83.327,82.404,1,0.79309,0.78616
0.8,0.1,1,100,84.707,83.327,82.404,1,0.8453,0.83427
0.8,0.1,1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,0.1,10,0.1,84.707,83.327,82.404,1,0.7245,0.71512
0.8,0.1,10,1,84.707,83.327,82.404,1,0.78375,0.77715
0.8,0.1,10,10,84.707,83.327,82.404,0.99997,0.77134,0.76415
0.8,0.1,10,100,84.707,83.327,82.404,1,0.77249,0.76354
0.8,0.1,10,1000,84.707,83.327,82.404,1,0.81177,0.80141
0.8,0.1,100,0.1,84.707,83.327,82.404,0.83409,0.83442,0.82352
0.8,0.1,100,1,84.707,83.327,82.404,0.83998,0.83941,0.82915
0.8,0.1,100,10,84.707,83.327,82.404,0.83611,0.8366,0.82793
0.8,0.1,100,100,84.707,83.327,82.404,0.83563,0.83672,0.82526
0.8,0.1,100,1000,84.707,83.327,82.404,0.83291,0.83263,0.82168
0.8,0.1,1000,0.1,84.707,83.327,82.404,0.82657,0.83468,0.82291
0.8,0.1,1000,1,84.707,83.327,82.404,0.82676,0.8366,0.82629
0.8,0.1,1000,10,84.707,83.327,82.404,0.82472,0.83417,0.82199
0.8,0.1,1000,100,84.707,83.327,82.404,0.82488,0.83186,0.82383
0.8,0.1,1000,1000,84.707,83.327,82.404,0.82452,0.8366,0.82363
0.8,1,0.1,0.1,84.707,83.327,82.404,1,0.78592,0.78084
0.8,1,0.1,1,84.707,83.327,82.404,1,0.7794,0.77715
0.8,1,0.1,10,84.707,83.327,82.404,1,0.83647,0.81881
0.8,1,0.1,100,84.707,83.327,82.404,1,0.76839,0.75934
0.8,1,0.1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,1,1,0.1,84.707,83.327,82.404,1,0.79232,0.78442
0.8,1,1,1,84.707,83.327,82.404,1,0.81561,0.80858
0.8,1,1,10,84.707,83.327,82.404,1,0.77646,0.76077
0.8,1,1,100,84.707,83.327,82.404,1,0.84517,0.83581
0.8,1,1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,1,10,0.1,84.707,83.327,82.404,1,0.78746,0.77828
0.8,1,10,1,84.707,83.327,82.404,1,0.773,0.76999
0.8,1,10,10,84.707,83.327,82.404,0.99958,0.79347,0.78053
0.8,1,10,100,84.707,83.327,82.404,0.9984,0.79962,0.79363
0.8,1,10,1000,84.707,83.327,82.404,1,0.84632,0.83468
0.8,1,100,0.1,84.707,83.327,82.404,0.83719,0.84005,0.82373
0.8,1,100,1,84.707,83.327,82.404,0.83422,0.83621,0.82598
0.8,1,100,10,84.707,83.327,82.404,0.83422,0.83429,0.82414
0.8,1,100,100,84.707,83.327,82.404,0.83847,0.83532,0.82547
0.8,1,100,1000,84.707,83.327,82.404,0.83691,0.83852,0.83028
0.8,1,1000,0.1,84.707,83.327,82.404,0.82692,0.83532,0.82588
0.8,1,1000,1,84.707,83.327,82.404,0.82619,0.83532,0.82547
0.8,1,1000,10,84.707,83.327,82.404,0.82971,0.8357,0.82506
0.8,1,1000,100,84.707,83.327,82.404,0.82852,0.83417,0.82618
0.8,1,1000,1000,84.707,83.327,82.404,0.82552,0.83493,0.82475
0.8,10,0.1,0.1,84.707,83.327,82.404,1,0.76635,0.76405
0.8,10,0.1,1,84.707,83.327,82.404,1,0.80461,0.79988
0.8,10,0.1,10,84.707,83.327,82.404,1,0.8174,0.80295
0.8,10,0.1,100,84.707,83.327,82.404,1,0.76839,0.75934
0.8,10,0.1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,10,1,0.1,84.707,83.327,82.404,1,0.78503,0.78186
0.8,10,1,1,84.707,83.327,82.404,1,0.77953,0.76743
0.8,10,1,10,84.707,83.327,82.404,1,0.82137,0.81359
0.8,10,1,100,84.707,83.327,82.404,1,0.83877,0.82588
0.8,10,1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,10,10,0.1,84.707,83.327,82.404,1,0.78375,0.77654
0.8,10,10,1,84.707,83.327,82.404,0.99955,0.7977,0.78872
0.8,10,10,10,84.707,83.327,82.404,0.99184,0.80781,0.79803
0.8,10,10,100,84.707,83.327,82.404,0.97204,0.82585,0.81871
0.8,10,10,1000,84.707,83.327,82.404,0.99987,0.84056,0.83253
0.8,10,100,0.1,84.707,83.327,82.404,0.83249,0.83301,0.82168
0.8,10,100,1,84.707,83.327,82.404,0.83198,0.83173,0.82219
0.8,10,100,10,84.707,83.327,82.404,0.83633,0.8357,0.82844
0.8,10,100,100,84.707,83.327,82.404,0.83607,0.83608,0.82547
0.8,10,100,1000,84.707,83.327,82.404,0.83022,0.83404,0.82434
0.8,10,1000,0.1,84.707,83.327,82.404,0.82897,0.83596,0.8268
0.8,10,1000,1,84.707,83.327,82.404,0.82731,0.83417,0.82598
0.8,10,1000,10,84.707,83.327,82.404,0.82801,0.83724,0.82537
0.8,10,1000,100,84.707,83.327,82.404,0.82734,0.83493,0.82404
0.8,10,1000,1000,84.707,83.327,82.404,0.82516,0.83378,0.82301
0.8,100,0.1,0.1,84.707,83.327,82.404,1,0.81152,0.80274
0.8,100,0.1,1,84.707,83.327,82.404,1,0.81113,0.80213
0.8,100,0.1,10,84.707,83.327,82.404,1,0.79603,0.78452
0.8,100,0.1,100,84.707,83.327,82.404,1,0.76839,0.75934
0.8,100,0.1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,100,1,0.1,84.707,83.327,82.404,1,0.78631,0.78053
0.8,100,1,1,84.707,83.327,82.404,1,0.78656,0.78002
0.8,100,1,10,84.707,83.327,82.404,1,0.81881,0.80796
0.8,100,1,100,84.707,83.327,82.404,1,0.81907,0.80274
0.8,100,1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,100,10,0.1,84.707,83.327,82.404,0.99981,0.79527,0.78524
0.8,100,10,1,84.707,83.327,82.404,0.99568,0.81497,0.80663
0.8,100,10,10,84.707,83.327,82.404,0.8624,0.83007,0.81533
0.8,100,10,100,84.707,83.327,82.404,0.84695,0.82994,0.82178
0.8,100,10,1000,84.707,83.327,82.404,0.83192,0.81267,0.79558
0.8,100,100,0.1,84.707,83.327,82.404,0.84074,0.83736,0.82967
0.8,100,100,1,84.707,83.327,82.404,0.83291,0.83276,0.82547
0.8,100,100,10,84.707,83.327,82.404,0.83092,0.83404,0.82557
0.8,100,100,100,84.707,83.327,82.404,0.81771,0.82418,0.81257
0.8,100,100,1000,84.707,83.327,82.404,0.81448,0.82457,0.8094
0.8,100,1000,0.1,84.707,83.327,82.404,0.82612,0.83519,0.82383
0.8,100,1000,1,84.707,83.327,82.404,0.82478,0.83289,0.82291
0.8,100,1000,10,84.707,83.327,82.404,0.82849,0.83647,0.82526
0.8,100,1000,100,84.707,83.327,82.404,0.82411,0.83289,0.82137
0.8,100,1000,1000,84.707,83.327,82.404,0.82277,0.83225,0.81933
0.8,1000,0.1,0.1,84.707,83.327,82.404,1,0.7524,0.74112
0.8,1000,0.1,1,84.707,83.327,82.404,1,0.82713,0.81922
0.8,1000,0.1,10,84.707,83.327,82.404,1,0.77684,0.76671
0.8,1000,0.1,100,84.707,83.327,82.404,1,0.76839,0.75934
0.8,1000,0.1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,1000,1,0.1,84.707,83.327,82.404,1,0.80409,0.79773
0.8,1000,1,1,84.707,83.327,82.404,1,0.76647,0.76825
0.8,1000,1,10,84.707,83.327,82.404,1,0.81612,0.80377
0.8,1000,1,100,84.707,83.327,82.404,0.79365,0.76955,0.76047
0.8,1000,1,1000,84.707,83.327,82.404,0.75981,0.76839,0.75934
0.8,1000,10,0.1,84.707,83.327,82.404,0.99501,0.81267,0.80899
0.8,1000,10,1,84.707,83.327,82.404,0.8863,0.8366,0.82537
0.8,1000,10,10,84.707,83.327,82.404,0.84497,0.82828,0.81984
0.8,1000,10,100,84.707,83.327,82.404,0.76147,0.76955,0.76026
0.8,1000,10,1000,84.707,83.327,82.404,0.75923,0.76839,0.75934
0.8,1000,100,0.1,84.707,83.327,82.404,0.83463,0.83289,0.82588
0.8,1000,100,1,84.707,83.327,82.404,0.83054,0.83442,0.82352
0.8,1000,100,10,84.707,83.327,82.404,0.82229,0.82943,0.81707
0.8,1000,100,100,84.707,83.327,82.404,0.80319,0.81164,0.80336
0.8,1000,100,1000,84.707,83.327,82.404,0.75952,0.76839,0.75934
0.8,1000,1000,0.1,84.707,83.327,82.404,0.82772,0.83506,0.82659
0.8,1000,1000,1,84.707,83.327,82.404,0.82488,0.83199,0.8225
0.8,1000,1000,10,84.707,83.327,82.404,0.82686,0.83608,0.82383
0.8,1000,1000,100,84.707,83.327,82.404,0.82113,0.83007,0.82066
0.8,1000,1000,1000,84.707,83.327,82.404,0.77183,0.78349,0.77255
0.4,0.1,0.1,0.1,84.778,81.679,82.744,1,0.73388,0.75172
0.4,0.1,0.1,1,84.778,81.679,82.744,1,0.72032,0.72446
0.4,0.1,0.1,10,84.778,81.679,82.744,1,0.8132,0.82195
0.4,0.1,0.1,100,84.778,81.679,82.744,1,0.75205,0.76169
0.4,0.1,0.1,1000,84.778,81.679,82.744,1,0.75205,0.76169
0.4,0.1,1,0.1,84.778,81.679,82.744,1,0.72083,0.73046
0.4,0.1,1,1,84.778,81.679,82.744,1,0.73465,0.75435
0.4,0.1,1,10,84.778,81.679,82.744,1,0.761,0.76571
0.4,0.1,1,100,84.778,81.679,82.744,1,0.80783,0.81898
0.4,0.1,1,1000,84.778,81.679,82.744,1,0.75205,0.76169
0.4,0.1,10,0.1,84.778,81.679,82.744,1,0.73772,0.73176
0.4,0.1,10,1,84.778,81.679,82.744,1,0.68142,0.69443
0.4,0.1,10,10,84.778,81.679,82.744,1,0.78378,0.78199
0.4,0.1,10,100,84.778,81.679,82.744,1,0.78019,0.78387
0.4,0.1,10,1000,84.778,81.679,82.744,1,0.82421,0.82887
0.4,0.1,100,0.1,84.778,81.679,82.744,0.83542,0.81653,0.82597
0.4,0.1,100,1,84.778,81.679,82.744,0.83338,0.81576,0.8244
0.4,0.1,100,10,84.778,81.679,82.744,0.83926,0.81551,0.82819
0.4,0.1,100,100,84.778,81.679,82.744,0.8369,0.81627,0.82502
0.4,0.1,100,1000,84.778,81.679,82.744,0.83894,0.8219,0.83007
0.4,0.1,1000,0.1,84.778,81.679,82.744,0.83171,0.82037,0.82952
0.4,0.1,1000,1,84.778,81.679,82.744,0.82781,0.81499,0.827
0.4,0.1,1000,10,84.778,81.679,82.744,0.82691,0.81653,0.82857
0.4,0.1,1000,100,84.778,81.679,82.744,0.82851,0.81627,0.8273
0.4,0.1,1000,1000,84.778,81.679,82.744,0.82602,0.81346,0.82574
0.4,1,0.1,0.1,84.778,81.679,82.744,1,0.70906,0.71279
0.4,1,0.1,1,84.778,81.679,82.744,1,0.78506,0.79346
0.4,1,0.1,10,84.778,81.679,82.744,1,0.8086,0.81359
0.4,1,0.1,100,84.778,81.679,82.744,1,0.75205,0.76169
0.4,1,0.1,1000,84.778,81.679,82.744,1,0.75205,0.76169
0.4,1,1,0.1,84.778,81.679,82.744,1,0.70829,0.7217
0.4,1,1,1,84.778,81.679,82.744,1,0.7738,0.77643
0.4,1,1,10,84.778,81.679,82.744,1,0.77815,0.79199
0.4,1,1,100,84.778,81.679,82.744,1,0.8219,0.82713
0.4,1,1,1000,84.778,81.679,82.744,1,0.75205,0.76169
0.4,1,10,0.1,84.778,81.679,82.744,1,0.72774,0.7306
0.4,1,10,1,84.778,81.679,82.744,1,0.77892,0.78295
0.4,1,10,10,84.778,81.679,82.744,0.99866,0.78838,0.79032
0.4,1,10,100,84.778,81.679,82.744,0.99578,0.79939,0.80816
0.4,1,10,1000,84.778,81.679,82.744,1,0.82728,0.83549
0.4,1,100,0.1,84.778,81.679,82.744,0.83434,0.81269,0.82563
0.4,1,100,1,84.778,81.679,82.744,0.8376,0.81883,0.83038
0.4,1,100,10,84.778,81.679,82.744,0.84131,0.82114,0.83341
0.4,1,100,100,84.778,81.679,82.744,0.83197,0.82011,0.82894
0.4,1,100,1000,84.778,81.679,82.744,0.83568,0.81448,0.82659
0.4,1,1000,0.1,84.778,81.679,82.744,0.82621,0.81218,0.82649
0.4,1,1000,1,84.778,81.679,82.744,0.83043,0.81781,0.82812
0.4,1,1000,10,84.778,81.679,82.744,0.82838,0.81448,0.82812
0.4,1,1000,100,84.778,81.679,82.744,0.82679,0.81627,0.82498
0.4,1,1000,1000,84.778,81.679,82.744,0.82928,0.81858,0.82696
0.4,10,0.1,0.1,84.778,81.679,82.744,1,0.73797,0.73927
0.4,10,0.1,1,84.778,81.679,82.744,1,0.75512,0.76373
0.4,10,0.1,10,84.778,81.679,82.744,1,0.78147,0.78858
0.4,10,0.1,100,84.778,81.679,82.744,1,0.75205,0.76169
0.4,10,0.1,1000,84.778,81.679,82.744,1,0.75205,0.76169
0.4,10,1,0.1,84.778,81.679,82.744,1,0.77149,0.76534
0.4,10,1,1,84.778,81.679,82.744,1,0.761,0.76107
0.4,10,1,10,84.778,81.679,82.744,1,0.79427,0.79717
0.4,10,1,100,84.778,81.679,82.744,1,0.81499,0.82318
0.4,10,1,1000,84.778,81.679,82.744,1,0.75205,0.76169
0.4,10,10,0.1,84.778,81.679,82.744,1,0.72032,0.72453
0.4,10,10,1,84.778,81.679,82.744,0.99834,0.79683,0.80072
0.4,10,10,10,84.778,81.679,82.744,0.9721,0.81116,0.81987
0.4,10,10,100,84.778,81.679,82.744,0.91611,0.81627,0.82567
0.4,10,10,1000,84.778,81.679,82.744,0.99443,0.81832,0.82679
0.4,10,100,0.1,84.778,81.679,82.744,0.83434,0.81704,0.82601
0.4,10,100,1,84.778,81.679,82.744,0.83376,0.81525,0.82553
0.4,10,100,10,84.778,81.679,82.744,0.83562,0.81704,0.82468
0.4,10,100,100,84.778,81.679,82.744,0.83523,0.81807,0.82993
0.4,10,100,1000,84.778,81.679,82.744,0.82864,0.81679,0.82324
0.4,10,1000,0.1,84.778,81.679,82.744,0.8289,0.81986,0.82734
0.4,10,1000,1,84.778,81.679,82.744,0.8273,0.81423,0.82413
0.4,10,1000,10,84.778,81.679,82.744,0.8303,0.81704,0.82918
0.4,10,1000,100,84.778,81.679,82.744,0.82717,0.81755,0.82669
0.4,10,1000,1000,84.778,81.679,82.744,0.82288,0.81372,0.82297
0.4,100,0.1,0.1,84.778,81.679,82.744,1,0.76817,0.76803
0.4,100,0.1,1,84.778,81.679,82.744,1,0.81192,0.81014
0.4,100,0.1,10,84.778,81.679,82.744,1,0.77047,0.7767
0.4,100,0.1,100,84.778,81.679,82.744,1,0.75205,0.76169
0.4,100,0.1,1000,84.778,81.679,82.744,1,0.75205,0.76169
0.4,100,1,0.1,84.778,81.679,82.744,1,0.7825,0.79015
0.4,100,1,1,84.778,81.679,82.744,1,0.7871,0.78018
0.4,100,1,10,84.778,81.679,82.744,1,0.80809,0.8184
0.4,100,1,100,84.778,81.679,82.744,1,0.78889,0.79506
0.4,100,1,1000,84.778,81.679,82.744,1,0.75205,0.76169
0.4,100,10,0.1,84.778,81.679,82.744,0.99904,0.78506,0.79144
0.4,100,10,1,84.778,81.679,82.744,0.98746,0.80399,0.81086
0.4,100,10,10,84.778,81.679,82.744,0.87631,0.81141,0.82195
0.4,100,10,100,84.778,81.679,82.744,0.82192,0.79887,0.80526
0.4,100,10,1000,84.778,81.679,82.744,0.78001,0.76433,0.77182
0.4,100,100,0.1,84.778,81.679,82.744,0.83472,0.81448,0.82693
0.4,100,100,1,84.778,81.679,82.744,0.83139,0.8109,0.82365
0.4,100,100,10,84.778,81.679,82.744,0.83702,0.82267,0.83096
0.4,100,100,100,84.778,81.679,82.744,0.78711,0.77252,0.78434
0.4,100,100,1000,84.778,81.679,82.744,0.80241,0.79452,0.80113
0.4,100,1000,0.1,84.778,81.679,82.744,0.82679,0.81832,0.82669
0.4,100,1000,1,84.778,81.679,82.744,0.82525,0.81269,0.82717
0.4,100,1000,10,84.778,81.679,82.744,0.82883,0.81704,0.82887
0.4,100,1000,100,84.778,81.679,82.744,0.82237,0.81167,0.82167
0.4,100,1000,1000,84.778,81.679,82.744,0.79748,0.79171,0.80571
0.4,1000,0.1,0.1,84.778,81.679,82.744,1,0.73414,0.74729
0.4,1000,0.1,1,84.778,81.679,82.744,1,0.80015,0.80222
0.4,1000,0.1,10,84.778,81.679,82.744,1,0.75589,0.76537
0.4,1000,0.1,100,84.778,81.679,82.744,1,0.75205,0.76169
0.4,1000,0.1,1000,84.778,81.679,82.744,1,0.75205,0.76169
0.4,1000,1,0.1,84.778,81.679,82.744,1,0.77636,0.78492
0.4,1000,1,1,84.778,81.679,82.744,1,0.73362,0.73384
0.4,1000,1,10,84.778,81.679,82.744,1,0.77738,0.79134
0.4,1000,1,100,84.778,81.679,82.744,0.76158,0.75205,0.76169
0.4,1000,1,1000,84.778,81.679,82.744,0.76107,0.75205,0.76169
0.4,1000,10,0.1,84.778,81.679,82.744,0.9808,0.80374,0.81618
0.4,1000,10,1,84.778,81.679,82.744,0.86665,0.81346,0.82362
0.4,1000,10,10,84.778,81.679,82.744,0.7923,0.76331,0.77435
0.4,1000,10,100,84.778,81.679,82.744,0.76254,0.75384,0.76251
0.4,1000,10,1000,84.778,81.679,82.744,0.76107,0.75205,0.76169
0.4,1000,100,0.1,84.778,81.679,82.744,0.83491,0.8196,0.83154
0.4,1000,100,1,84.778,81.679,82.744,0.83075,0.81346,0.82488
0.4,1000,100,10,84.778,81.679,82.744,0.81866,0.80476,0.81618
0.4,1000,100,100,84.778,81.679,82.744,0.76817,0.76382,0.77148
0.4,1000,100,1000,84.778,81.679,82.744,0.76133,0.7523,0.76176
0.4,1000,1000,0.1,84.778,81.679,82.744,0.83043,0.81858,0.82553
0.4,1000,1000,1,84.778,81.679,82.744,0.8273,0.81551,0.82382
0.4,1000,1000,10,84.778,81.679,82.744,0.82615,0.8132,0.8273
0.4,1000,1000,100,84.778,81.679,82.744,0.81981,0.81167,0.82178
0.4,1000,1000,1000,84.778,81.679,82.744,0.79569,0.79145,0.79724
0.2,0.1,0.1,0.1,84.655,82.753,82.387,1,0.72876,0.73138
