ratio,alpha,beta,nn,test_acc,vali_acc
0.01,0.1,0.2,1,0.931864217819,0.931948424069
0.01,0.1,0.2,2,0.924168735928,0.924785100287
0.01,0.1,0.2,3,0.941892234296,0.938395415473
0.01,0.1,0.2,4,0.939587209429,0.934813753582
0.01,0.1,2.0,1,0.90123576553,0.9111747851
0.01,0.1,2.0,2,0.88732308717,0.899713467049
0.01,0.1,2.0,3,0.914741589627,0.920487106017
0.01,0.1,2.0,4,0.908262326888,0.916189111748
0.01,0.1,20.0,1,0.903135384014,0.908309455587
0.01,0.1,20.0,2,0.890089985738,0.895415472779
0.01,0.1,20.0,3,0.916140241651,0.917621776504
0.01,0.1,20.0,4,0.90993897186,0.911891117479
0.01,0.1,200.0,1,0.903420616362,0.909025787966
0.01,0.1,200.0,2,0.89079944691,0.893266475645
0.01,0.1,200.0,3,0.916347288483,0.916905444126
0.01,0.1,200.0,4,0.910270536367,0.914756446991
0.01,1.0,0.2,1,0.931308231921,0.938395415473
0.01,1.0,0.2,2,0.923282633404,0.929083094556
0.01,1.0,0.2,3,0.940576111429,0.940544412607
0.01,1.0,0.2,4,0.938452071554,0.936962750716
0.01,1.0,2.0,1,0.935375326678,0.936962750716
0.01,1.0,2.0,2,0.930013827253,0.936246418338
0.01,1.0,2.0,3,0.944591082507,0.951289398281
0.01,1.0,2.0,4,0.944111834247,0.94770773639
0.01,1.0,20.0,1,0.902305748807,0.902578796562
0.01,1.0,20.0,2,0.889287860251,0.895415472779
0.01,1.0,20.0,3,0.915896997821,0.919770773639
0.01,1.0,20.0,4,0.909507503638,0.914756446991
0.01,1.0,200.0,1,0.903339535086,0.908309455587
0.01,1.0,200.0,2,0.890703886834,0.893266475645
0.01,1.0,200.0,3,0.916315435124,0.917621776504
0.01,1.0,200.0,4,0.91020393389,0.914040114613
0.01,10.0,0.2,1,0.930413442117,0.936962750716
0.01,10.0,0.2,2,0.922991609536,0.931232091691
0.01,10.0,0.2,3,0.940102654688,0.939111747851
0.01,10.0,0.2,4,0.937907668696,0.939111747851
0.01,10.0,2.0,1,0.931551475752,0.936962750716
0.01,10.0,2.0,2,0.923679352508,0.930515759312
0.01,10.0,2.0,3,0.940741169742,0.940544412607
0.01,10.0,2.0,4,0.938441936395,0.94340974212
0.01,10.0,20.0,1,0.939498888752,0.938395415473
0.01,10.0,20.0,2,0.934002736493,0.940544412607
0.01,10.0,20.0,3,0.94801097493,0.952722063037
0.01,10.0,20.0,4,0.946548616189,0.954154727794
0.01,10.0,200.0,1,0.902650344233,0.902578796562
0.01,10.0,200.0,2,0.889686027235,0.895415472779
0.01,10.0,200.0,3,0.916043233695,0.917621776504
0.01,10.0,200.0,4,0.909730477149,0.913323782235
0.01,100.0,0.2,1,0.930752246024,0.936962750716
0.01,100.0,0.2,2,0.922817863943,0.933381088825
0.01,100.0,0.2,3,0.940088175888,0.938395415473
0.01,100.0,0.2,4,0.937909116576,0.941260744986
0.01,100.0,2.0,1,0.930414889997,0.937679083095
0.01,100.0,2.0,2,0.922916319779,0.933381088825
0.01,100.0,2.0,3,0.940121477127,0.938395415473
0.01,100.0,2.0,4,0.937940969935,0.941977077364
0.01,100.0,20.0,1,0.931164891807,0.936246418338
0.01,100.0,20.0,2,0.923743059226,0.931232091691
0.01,100.0,20.0,3,0.940755648542,0.941260744986
0.01,100.0,20.0,4,0.938397052116,0.941977077364
0.01,100.0,200.0,1,0.939723310143,0.940544412607
0.01,100.0,200.0,2,0.934334301,0.939111747851
0.01,100.0,200.0,3,0.948225261161,0.950573065903
0.01,100.0,200.0,4,0.946793307899,0.954154727794
0.05,0.1,0.2,1,0.940630002761,0.944532033825
0.05,0.1,0.2,2,0.936601389042,0.936219005303
0.05,0.1,0.2,3,0.949575939369,0.951698437724
0.05,0.1,0.2,4,0.94760991552,0.948975204243
0.05,0.1,2.0,1,0.922652125433,0.927332664469
0.05,0.1,2.0,2,0.914910246409,0.916583058621
0.05,0.1,2.0,3,0.934440724306,0.938082270317
0.05,0.1,2.0,4,0.930303473812,0.934499068367
0.05,0.1,20.0,1,0.922615913175,0.930199226028
0.05,0.1,20.0,2,0.915350828884,0.921886197506
0.05,0.1,20.0,3,0.934321525622,0.939228894941
0.05,0.1,20.0,4,0.929995669617,0.934785724523
0.05,0.1,200.0,1,0.922641563525,0.929625913716
0.05,0.1,200.0,2,0.91535686426,0.920452916726
0.05,0.1,200.0,3,0.934267207235,0.940088863408
0.05,0.1,200.0,4,0.930069602978,0.9336390999
0.05,1.0,0.2,1,0.940381043486,0.945248674215
0.05,1.0,0.2,2,0.936141191595,0.94066217572
0.05,1.0,0.2,3,0.949517094449,0.951698437724
0.05,1.0,0.2,4,0.947670269283,0.951411781568
0.05,1.0,2.0,1,0.94720403646,0.945678658449
0.05,1.0,2.0,2,0.944059605377,0.944962018059
0.05,1.0,2.0,3,0.955475519759,0.955568295829
0.05,1.0,2.0,4,0.95428051524,0.954564999283
0.05,1.0,20.0,1,0.922695881912,0.928765945249
0.05,1.0,20.0,2,0.915412691491,0.92088290096
0.05,1.0,20.0,3,0.934561431833,0.939228894941
0.05,1.0,20.0,4,0.930297438435,0.934069084134
0.05,1.0,200.0,1,0.922584227449,0.929769241794
0.05,1.0,200.0,2,0.915525854798,0.92088290096
0.05,1.0,200.0,3,0.934298892961,0.939515551096
0.05,1.0,200.0,4,0.930001704994,0.933495771822
0.05,10.0,0.2,1,0.940454976847,0.944532033825
0.05,10.0,0.2,2,0.936174386165,0.93994553533
0.05,10.0,0.2,3,0.949559342084,0.95270173427
0.05,10.0,0.2,4,0.947572194418,0.949978500788
0.05,10.0,2.0,1,0.940699409589,0.943958721514
0.05,10.0,2.0,2,0.936586300601,0.93994553533
0.05,10.0,2.0,3,0.94990486738,0.950981797334
0.05,10.0,2.0,4,0.948011268048,0.94983517271
0.05,10.0,20.0,1,0.949690611519,0.950695141178
0.05,10.0,20.0,2,0.946306274226,0.945678658449
0.05,10.0,20.0,3,0.957163916295,0.957574888921
0.05,10.0,20.0,4,0.956041336293,0.956571592375
0.05,10.0,200.0,1,0.922750200299,0.928909273327
0.05,10.0,200.0,2,0.915450412593,0.921026229038
0.05,10.0,200.0,3,0.934495042693,0.939085566863
0.05,10.0,200.0,4,0.930274805774,0.933925756056
0.05,100.0,0.2,1,0.940503259858,0.944818689981
0.05,100.0,0.2,2,0.936189474605,0.940088863408
0.05,100.0,0.2,3,0.94953218289,0.952558406192
0.05,100.0,0.2,4,0.947575212106,0.94983517271
0.05,100.0,2.0,1,0.940492697949,0.943958721514
0.05,100.0,2.0,2,0.936252846057,0.940088863408
0.05,100.0,2.0,3,0.949521620981,0.952415078114
0.05,100.0,2.0,4,0.947593318235,0.949978500788
0.05,100.0,20.0,1,0.940996651875,0.944102049592
0.05,100.0,20.0,2,0.936794521085,0.940805503798
0.05,100.0,20.0,3,0.94993806195,0.951411781568
0.05,100.0,20.0,4,0.948000706139,0.949691844632
0.05,100.0,200.0,1,0.94993051773,0.950981797334
0.05,100.0,200.0,2,0.946605025356,0.946825283073
0.05,100.0,200.0,3,0.957341959898,0.957574888921
0.05,100.0,200.0,4,0.956282751347,0.956428264297
0.1,0.1,0.2,1,0.943474597732,0.944098043432
0.1,0.1,0.2,2,0.939897463994,0.942306314054
0.1,0.1,0.2,3,0.952145085741,0.954275066294
0.1,0.1,0.2,4,0.950426596292,0.952339998567
0.1,0.1,2.0,1,0.927187968344,0.929047516663
0.1,0.1,2.0,2,0.919165696466,0.921450584104
0.1,0.1,2.0,3,0.938358946099,0.939081201175
0.1,0.1,2.0,4,0.934531763387,0.936142764997
0.1,0.1,20.0,1,0.92704144283,0.928617501613
0.1,0.1,20.0,2,0.919560678286,0.922883967606
0.1,0.1,20.0,3,0.937987854309,0.937791156024
0.1,0.1,20.0,4,0.934136781567,0.935784419121
0.1,0.1,200.0,1,0.927079666877,0.928187486562
0.1,0.1,200.0,2,0.91972950116,0.921952268329
0.1,0.1,200.0,3,0.937938481582,0.938221171074
0.1,0.1,200.0,4,0.934178190951,0.935927757472
0.1,1.0,0.2,1,0.94361634524,0.94266465993
0.1,1.0,0.2,2,0.939793940533,0.941374614778
0.1,1.0,0.2,3,0.951891851429,0.95506342722
0.1,1.0,0.2,4,0.950552417114,0.952483336917
0.1,1.0,2.0,1,0.948786147605,0.952196660216
0.1,1.0,2.0,2,0.945807857271,0.950906615065
0.1,1.0,2.0,3,0.956988391038,0.959076901025
0.1,1.0,2.0,4,0.955824150271,0.9594352469
0.1,1.0,20.0,1,0.927129039605,0.928259155737
0.1,1.0,20.0,2,0.919352038695,0.92223894503
0.1,1.0,20.0,3,0.938035634368,0.937791156024
0.1,1.0,20.0,4,0.934071482153,0.935641080771
0.1,1.0,200.0,1,0.927073296203,0.928545832437
0.1,1.0,200.0,2,0.919661016409,0.92209560668
0.1,1.0,200.0,3,0.938022893019,0.938077832724
0.1,1.0,200.0,4,0.934132003561,0.935927757472
0.1,10.0,0.2,1,0.943496895093,0.94323801333
0.1,10.0,0.2,2,0.939886315313,0.942091306529
0.1,10.0,0.2,3,0.952138715067,0.954633412169
0.1,10.0,0.2,4,0.95054445377,0.951479968466
0.1,10.0,2.0,1,0.943992215036,0.944599727657
0.1,10.0,2.0,2,0.940391191268,0.942234644879
0.1,10.0,2.0,3,0.952498658177,0.954848419695
0.1,10.0,2.0,4,0.950910767555,0.951838314341
0.1,10.0,20.0,1,0.95169436052,0.952770013617
0.1,10.0,20.0,2,0.94867625347,0.952268329392
0.1,10.0,20.0,3,0.959364652631,0.960295277001
0.1,10.0,20.0,4,0.958262525941,0.959363577725
0.1,10.0,200.0,1,0.927143373623,0.928975847488
0.1,10.0,200.0,2,0.91931222198,0.92209560668
0.1,10.0,200.0,3,0.937938481582,0.937576148499
0.1,10.0,200.0,4,0.934116076875,0.935354404071
0.1,100.0,0.2,1,0.943488931749,0.943524690031
0.1,100.0,0.2,2,0.939805089213,0.942162975704
0.1,100.0,0.2,3,0.95213552973,0.954705081345
0.1,100.0,0.2,4,0.950493488374,0.95140829929
0.1,100.0,2.0,1,0.943538304477,0.943739697556
0.1,100.0,2.0,2,0.939854461941,0.942091306529
0.1,100.0,2.0,3,0.952180124451,0.954991758045
0.1,100.0,2.0,4,0.950511007729,0.95140829929
0.1,100.0,20.0,1,0.944041587763,0.945173081058
0.1,100.0,20.0,2,0.940480380712,0.942162975704
0.1,100.0,20.0,3,0.952495472839,0.954633412169
0.1,100.0,20.0,4,0.95102066169,0.951551637641
0.1,100.0,200.0,1,0.951996967559,0.952985021142
0.1,100.0,200.0,2,0.949023455231,0.952841682792
0.1,100.0,200.0,3,0.959507992808,0.960151938651
0.1,100.0,200.0,4,0.958424978141,0.959650254426
0.2,0.1,0.2,1,0.944633076097,0.945208915645
0.2,0.1,0.2,2,0.941038821887,0.941768795241
0.2,0.1,0.2,3,0.953455662205,0.95345087078
0.2,0.1,0.2,4,0.951930881381,0.953665878306
0.2,0.1,2.0,1,0.929329723551,0.932630975417
0.2,0.1,2.0,2,0.922069545056,0.924102343582
0.2,0.1,2.0,3,0.94039199947,0.941410449366
0.2,0.1,2.0,4,0.936840747304,0.938328674837
0.2,0.1,20.0,1,0.929284929754,0.93230846413
0.2,0.1,20.0,2,0.922659031415,0.926682433885
0.2,0.1,20.0,3,0.940537131369,0.942127141117
0.2,0.1,20.0,4,0.937419483151,0.937791156024
0.2,0.1,200.0,1,0.929431853406,0.93302515588
0.2,0.1,200.0,2,0.923004839522,0.926861606823
0.2,0.1,200.0,3,0.940753933343,0.943023005805
0.2,0.1,200.0,4,0.937611200599,0.938041998137
0.2,1.0,0.2,1,0.944695787412,0.945603096108
0.2,1.0,0.2,2,0.941130201232,0.942736329105
0.2,1.0,0.2,3,0.953547041549,0.954024224181
0.2,1.0,0.2,4,0.952140516347,0.954310900882
0.2,1.0,2.0,1,0.951420232104,0.952555006092
0.2,1.0,2.0,2,0.948320501404,0.950727442127
0.2,1.0,2.0,3,0.959357692797,0.960510284527
0.2,1.0,2.0,4,0.958234264387,0.960331111589
0.2,1.0,20.0,1,0.929254469973,0.932200960367
0.2,1.0,20.0,2,0.922870458133,0.925464057909
0.2,1.0,20.0,3,0.940400958229,0.941768795241
0.2,1.0,20.0,4,0.937077258548,0.937289471798
0.2,1.0,200.0,1,0.929404977128,0.93288181753
0.2,1.0,200.0,2,0.923028132296,0.92689744141
0.2,1.0,200.0,3,0.940691222029,0.942557156167
0.2,1.0,200.0,4,0.937575365562,0.937755321436
0.2,10.0,0.2,1,0.944833752305,0.944922238945
0.2,10.0,0.2,2,0.941090782691,0.942413817817
0.2,10.0,0.2,3,0.953430577679,0.953916720419
0.2,10.0,0.2,4,0.952117223573,0.954597577582
0.2,10.0,2.0,1,0.945344401582,0.945495592346
0.2,10.0,2.0,2,0.941877361753,0.942449652405
0.2,10.0,2.0,3,0.953731591989,0.954884254282
0.2,10.0,2.0,4,0.952538285258,0.954669246757
0.2,10.0,20.0,1,0.952203227662,0.953737547481
0.2,10.0,20.0,2,0.949619521495,0.951479968466
0.2,10.0,20.0,3,0.960303737774,0.960796961227
0.2,10.0,20.0,4,0.959196435131,0.960402780764
0.2,10.0,200.0,1,0.929211467929,0.931806779904
0.2,10.0,200.0,2,0.922648280904,0.925822403784
0.2,10.0,200.0,3,0.940476211807,0.941912133591
0.2,10.0,200.0,4,0.937211639937,0.937289471798
0.2,100.0,0.2,1,0.944783583253,0.944743066007
0.2,100.0,0.2,2,0.941049572398,0.942342148642
0.2,100.0,0.2,3,0.953375033371,0.953809216656
0.2,100.0,0.2,4,0.95208497204,0.954275066294
0.2,100.0,2.0,1,0.944840919312,0.945173081058
0.2,100.0,2.0,2,0.941174995028,0.942377983229
0.2,100.0,2.0,3,0.953366074612,0.953809216656
0.2,100.0,2.0,4,0.952086763792,0.954418404644
0.2,100.0,20.0,1,0.945387403626,0.945638930696
0.2,100.0,20.0,2,0.941977699856,0.942413817817
0.2,100.0,20.0,3,0.953815804326,0.955027592632
0.2,100.0,20.0,4,0.952457656424,0.954633412169
0.2,100.0,200.0,1,0.952452281169,0.954203397119
0.2,100.0,200.0,2,0.949949203835,0.952089156454
0.2,100.0,200.0,3,0.96048470471,0.96104780334
0.2,100.0,200.0,4,0.959332608271,0.960940299577
0.4,0.1,0.2,1,0.946397983683,0.946266035978
0.4,0.1,0.2,2,0.942568415017,0.942360065936
0.4,0.1,0.2,3,0.954998387424,0.955744284383
0.4,0.1,0.2,4,0.953658157841,0.953809216656
0.4,0.1,2.0,1,0.934242746396,0.934996058195
0.4,0.1,2.0,2,0.927166525317,0.927936644449
0.4,0.1,2.0,3,0.944415112821,0.943972622375
0.4,0.1,2.0,4,0.941156515403,0.940604171146
0.4,0.1,20.0,1,0.933776891193,0.933903103275
0.4,0.1,20.0,2,0.926922847211,0.926843689529
0.4,0.1,20.0,3,0.944075874673,0.943435103562
0.4,0.1,20.0,4,0.941187572417,0.940729592202
0.4,0.1,200.0,1,0.933860506229,0.933741847631
0.4,0.1,200.0,2,0.927037519261,0.926951193292
0.4,0.1,200.0,3,0.944216825734,0.94347093815
0.4,0.1,200.0,4,0.941161293405,0.940460832796
0.4,1.0,0.2,1,0.946837559874,0.946552712678
0.4,1.0,0.2,2,0.943189555287,0.94323801333
0.4,1.0,0.2,3,0.955175173501,0.955583028739
0.4,1.0,0.2,4,0.953899446946,0.95411381065
0.4,1.0,2.0,1,0.952695390422,0.952035404572
0.4,1.0,2.0,2,0.949833367178,0.949956998495
0.4,1.0,2.0,3,0.95997706559,0.960134021357
0.4,1.0,2.0,4,0.959365481324,0.959041066437
0.4,1.0,20.0,1,0.933573826105,0.933921020569
0.4,1.0,20.0,2,0.92668872511,0.926126997778
0.4,1.0,20.0,3,0.94402331665,0.942987171218
0.4,1.0,20.0,4,0.940927171303,0.940066652333
0.4,1.0,200.0,1,0.933860506229,0.933741847631
0.4,1.0,200.0,2,0.926908513205,0.926969110586
0.4,1.0,200.0,3,0.94422877074,0.94347093815
0.4,1.0,200.0,4,0.941168460408,0.940514584677
0.4,10.0,0.2,1,0.947043013964,0.946713968322
0.4,10.0,0.2,2,0.943220612301,0.943202178743
0.4,10.0,0.2,3,0.955256399537,0.955708449796
0.4,10.0,0.2,4,0.954066677019,0.954292983588
0.4,10.0,2.0,1,0.947439588136,0.947466494661
0.4,10.0,2.0,2,0.943550294444,0.944008456963
0.4,10.0,2.0,3,0.955643417705,0.955672615208
0.4,10.0,2.0,4,0.954178960068,0.954346735469
0.4,10.0,20.0,1,0.954491919204,0.954364652763
0.4,10.0,20.0,2,0.951474610891,0.952268329392
0.4,10.0,20.0,3,0.961852431406,0.962373683079
0.4,10.0,20.0,4,0.961291016162,0.961692825916
0.4,10.0,200.0,1,0.933898730246,0.934261449151
0.4,10.0,200.0,2,0.926822509168,0.926431591772
0.4,10.0,200.0,3,0.943949257618,0.943040923099
0.4,10.0,200.0,4,0.941060955362,0.940353329033
0.4,100.0,0.2,1,0.947016734952,0.946660216441
0.4,100.0,0.2,2,0.943125052259,0.942987171218
0.4,100.0,0.2,3,0.955201452513,0.955780118971
0.4,100.0,0.2,4,0.954073844022,0.954328818175
0.4,100.0,2.0,1,0.947140963006,0.946696051028
0.4,100.0,2.0,2,0.943225390303,0.942969253924
0.4,100.0,2.0,3,0.955254010535,0.955780118971
0.4,100.0,2.0,4,0.954133569048,0.954436321938
0.4,100.0,20.0,1,0.947358362101,0.947573998423
0.4,100.0,20.0,2,0.943368730365,0.944169712607
0.4,100.0,20.0,3,0.955531134656,0.955780118971
0.4,100.0,20.0,4,0.954248241098,0.954310900882
0.4,100.0,200.0,1,0.954740375312,0.954669246757
0.4,100.0,200.0,2,0.951670508977,0.952590840679
0.4,100.0,200.0,3,0.962033995485,0.962696194367
0.4,100.0,200.0,4,0.961520360261,0.961818246972
0.8,0.1,0.2,1,0.94857699833,0.94915026473
0.8,0.1,0.2,2,0.945344695368,0.944599231341
0.8,0.1,0.2,3,0.956181152305,0.956720389167
0.8,0.1,0.2,4,0.955127607881,0.955322827733
0.8,0.1,2.0,1,0.937805044113,0.938131030343
0.8,0.1,2.0,2,0.931060926402,0.931232810442
0.8,0.1,2.0,3,0.946871259738,0.947125592396
0.8,0.1,2.0,4,0.944592163636,0.943990037895
0.8,0.1,20.0,1,0.937238853572,0.937486001989
0.8,0.1,20.0,2,0.931318937282,0.931205934261
0.8,0.1,20.0,3,0.946563080077,0.94689266549
0.8,0.1,20.0,4,0.944018806126,0.944348386981
0.8,0.1,200.0,1,0.937332024167,0.937656217805
0.8,0.1,200.0,2,0.931383440002,0.931259686624
0.8,0.1,200.0,3,0.946383905855,0.946820995673
0.8,0.1,200.0,4,0.943925635531,0.943998996623
0.8,1.0,0.2,1,0.94857699833,0.949266728183
0.8,1.0,0.2,2,0.945402031119,0.94513675497
0.8,1.0,0.2,3,0.956517999842,0.956827893893
0.8,1.0,0.2,4,0.955306782103,0.95577076409
0.8,1.0,2.0,1,0.955141941819,0.955403456277
0.8,1.0,2.0,2,0.952131814892,0.952393323957
0.8,1.0,2.0,3,0.961721219245,0.962140419089
0.8,1.0,2.0,4,0.961341369894,0.961343092373
0.8,1.0,20.0,1,0.937246020541,0.937154529085
0.8,1.0,20.0,2,0.931053759434,0.930677369359
0.8,1.0,20.0,3,0.946362404948,0.946597027494
0.8,1.0,20.0,4,0.943531452243,0.94363168881
0.8,1.0,200.0,1,0.937446695669,0.937781639985
0.8,1.0,200.0,2,0.931182764873,0.931358232622
0.8,1.0,200.0,3,0.946505744326,0.946883706763
0.8,1.0,200.0,4,0.943911301593,0.944151294984
0.8,10.0,0.2,1,0.948763339521,0.949284645638
0.8,10.0,0.2,2,0.945473700808,0.945351764421
0.8,10.0,0.2,3,0.956460664091,0.956998109709
0.8,10.0,0.2,4,0.955328283009,0.955842433907
0.8,10.0,2.0,1,0.948584165299,0.950019261263
0.8,10.0,2.0,2,0.945781880469,0.946122214956
0.8,10.0,2.0,3,0.956632671344,0.957231036614
0.8,10.0,2.0,4,0.955478789356,0.956415792444
0.8,10.0,20.0,1,0.956561001656,0.956612884441
0.8,10.0,20.0,2,0.954253237678,0.953710256847
0.8,10.0,20.0,3,0.963197614833,0.963788824884
0.8,10.0,20.0,4,0.962652925198,0.963036291804
0.8,10.0,200.0,1,0.937174350852,0.937055983086
0.8,10.0,200.0,2,0.931168430936,0.930704245541
0.8,10.0,200.0,3,0.946684918547,0.946570151313
0.8,10.0,200.0,4,0.943818130998,0.94394524426
0.8,100.0,0.2,1,0.948648668019,0.949159223458
0.8,100.0,0.2,2,0.945545370496,0.945369681876
0.8,100.0,0.2,3,0.956431996216,0.957016027163
0.8,100.0,0.2,4,0.955270947258,0.955842433907
0.8,100.0,2.0,1,0.948763339521,0.949195058366
0.8,100.0,2.0,2,0.945566871403,0.945351764421
0.8,100.0,2.0,3,0.956439163185,0.957060820799
0.8,100.0,2.0,4,0.955328283009,0.955923062451
0.8,100.0,20.0,1,0.948476660766,0.949956550173
0.8,100.0,20.0,2,0.945925219847,0.946131173683
0.8,100.0,20.0,3,0.956618337407,0.957356458794
0.8,100.0,20.0,4,0.955600627826,0.956406833717
0.8,100.0,200.0,1,0.95697668585,0.956818935166
0.8,100.0,200.0,2,0.954317740398,0.954471748654
0.8,100.0,200.0,3,0.963448458743,0.964048627971
0.8,100.0,200.0,4,0.962738928825,0.963179631438
